Code;Medecin;Revenu
64001;1.7;25530
55001;3.2;23230
59001;3.1;25560
60001;3;20360
54001;2.6;23300
55002;3.6;
25001;4.2;23510
25002;4.7;25560
44001;2.1;20750
60002;3.3;26060
2001;2.9;21150
25003;3;21030
80001;4.5;19000
91001;2;26590
54002;2.4;23070
60003;3;27760
25004;0.9;28270
34001;3.5;21720
70001;2.1;20560
64002;2.4;20630
39001;3.7;24300
39002;3.2;
39003;3.7;
39004;2.7;
64003;4.1;23220
37001;3.1;21140
64004;3.9;24680
24001;2.1;19940
62001;1.9;25590
80002;4.1;20300
62002;4;22770
51001;2.5;22390
95002;2.9;29290
78003;3.2;26630
14001;3.6;24480
94001;3.9;24000
42001;2.6;23450
54003;4.4;20880
57001;1.3;22860
70002;4.2;19890
57002;4.6;
74001;7.2;24820
28001;2.4;26810
64005;4.5;23980
57003;1.5;22990
3001;2.9;23170
5001;10.5;19460
59002;5.4;19560
16001;4.3;18600
33001;4.6;21060
25005;2.6;
7001;6;23310
64006;3.7;20570
57004;2.7;
57006;2.3;24380
67001;2.6;28520
18001;2;23220
78005;2;23420
77001;1.7;30970
2002;2.8;22340
80003;3.7;22120
80004;2.7;21710
62003;3.9;27470
70003;4.9;
62004;4.6;21900
62005;4;20740
62006;3.6;22990
58001;1.5;19450
60004;4.1;24200
35001;3.8;25850
27001;2.3;22690
27002;2.9;23540
97601;NA;
62007;3.8;27260
27003;3.6;24460
62008;2.3;23110
2003;2.1;23020
60005;1.4;24640
8001;4.2;25820
57007;3.4;24880
78006;1.5;30450
25006;2.4;
25007;5.2;23140
67002;2.8;22860
65001;5;22660
65002;3.3;23130
57008;3.4;24730
70004;1.9;22050
65003;6.1;21800
79002;2.6;22260
62009;3.3;23440
34002;4.1;21060
45001;1;22920
86001;3.5;19310
2A001;1.8;27250
19001;1;22910
54004;2.1;24270
69001;1.5;24970
54005;4.7;25660
62010;1.8;25020
31001;2.8;20370
34003;3.6;20410
34004;2.5;18830
47001;4.3;19160
12001;3.2;25590
21001;4.2;27800
80005;1.6;
80006;4.1;24980
52001;1.3;23590
21002;3.3;25990
2B002;1.5;19870
54006;5.8;28060
47002;1.1;23220
47003;2;21890
43001;1.8;21220
50002;3.9;24460
60007;2;27210
62011;4.7;28020
2004;3.5;20880
62012;3.6;25210
38003;2.8;24890
64007;4.1;25110
62013;4.4;24730
50003;3.6;27110
24002;2.9;23340
34005;4.6;23490
3002;2.9;20970
65004;5.8;24340
16003;3.1;20480
17002;3.1;20930
12002;2.8;22260
2005;2.9;24020
81001;3;25020
14003;4;25210
64008;2.6;20980
64009;4.9;25570
88002;2.9;
53001;2.9;23320
23001;3.9;21460
21003;3.1;26760
59003;3.9;22970
25008;3.1;24270
64010;4.5;22820
79003;3.3;25020
30001;2.9;22390
8003;2.6;24160
39006;4.4;24790
27004;1.3;24770
4001;3.4;24270
6001;2.6;
32001;2.4;19070
21004;1.2;22700
34006;2.2;18690
72001;1.9;25250
31002;3.1;25830
80008;2.9;20750
51003;3.4;22810
79185;2.6;24740
16005;4;20570
31003;3.6;32490
17003;3.2;23520
44002;2.6;24830
30002;3.6;22250
52002;2.3;
78007;3;41170
89002;1.5;
73001;1.4;27450
81002;2.1;21090
63001;2.9;22570
69002;2.3;21290
9001;2.9;
30003;3.6;22900
