Nom original,Commune associée,Population INSEE,Nombre médecins
A7 Salaise Ouest,Salaise-sur-Sanne,4487,14
A7 SUD LYONNAIS,Pierre-Bénite,10524,34
AIX CENTRE ECOLE ART,Aix-en-Provence,147478,480
AIX ROY RENE,Aix-en-Provence,147478,480
AJACCIO CANETTO,Ajaccio,75734,230
Albertville,Albertville,19143,62
Alençon Météo-France,Alençon,25786,85
ANGLET,Anglet,40658,130
ANNEMASSE,Annemasse,37512,120
Arles,Arles,51145,170
Aurillac-Lagarde,Aurillac,25987,85
Auto A1 -Saint-Denis,Saint-Denis,112091,370
Auxerre,Auxerre,34046,110
Av Champs Elysees,Paris,2103778,21000
AVIGNON   MAIRIE,Avignon,91760,300
Avignon Rocade De Gaulle,Avignon,91760,300
BASSENS,Bassens,7524,24
BASTIA GIRAUD,Bastia,48796,155
BASTIA MONTESORO,Bastia,48796,155
Baume-les-Dames,Baume-les-Dames,4939,16
Beaulieu,NA,NA,NA
BEAUX ARTS,Montpellier,310240,980
Belfort centre,Belfort,45531,150
Belleville sur Meuse,Belleville-sur-Meuse,3078,10
Besançon Prévoyance,Besançon,118258,380
Bethune Stade,Béthune,24818,80
Biarritz-hippodrome,Biarritz,25407,80
BILLERE,Billère,13569,45
Bld peripherique Est,Paris,2103778,21000
Blois nord,Blois,45710,150
Blois_trafic,Blois,45710,150
BOBIGNY,Bobigny,54706,175
Bordeaux_GAUTIER,Bordeaux,267991,850
Boulevard Haussmann,Paris,2103778,21000
Boulogne Diderot,Boulogne-Billancourt,121583,390
Bourg-en-Bresse,Bourg-en-Bresse,41525,135
Bourgoin-Jallieu,Bourgoin-Jallieu,28771,95
Brest Desmoulins,Brest,139619,460
Brest Mace,Brest,139619,460
Nom original,Commune associée,Population INSEE,Nombre médecins
Caen Chemin-Vert,Caen,108200,340
Caiena3,Caen,108200,340
Calais Berthelot,Calais,67475,235
CAME,NA,NA,NA
CANNES BROUSSAILLES,Cannes,73965,240
Cayenne-Bouchon,Cayenne,61327,210
Centre Hospitalier,NA,NA,NA
Chalon Centre Ville,Chalon-sur-Saône,45300,145
Champforgueil,Champforgeuil,2490,8
Chartres_trafic,Chartres,38184,125
Chateauroux Sud,Châteauroux,43376,140
Chaussée Royale,Orléans,116617,380
Cherbourg Hotel de Ville,Cherbourg-en-Cotentin,79457,255
Cherbourg PMF,Cherbourg-en-Cotentin,79457,255
CIM BOUTEILLERIE,Nantes,327734,1040
Convalescence,NA,NA,NA
DELACROIX,NA,NA,NA
Denain Villars,Denain,20057,65
Dieppe Golf,Dieppe,28746,95
Dieppe prox-auto,Dieppe,28746,95
Dijon Ardennes,Dijon,158002,520
Dijon Péjoces,Dijon,158002,520
Dole centre,Dole,23700,78
Douai Theuriet,Douai,38987,125
DOUMER,Paris,2103778,21000
Dreux Centre,Dreux,31100,100
ECOLE M.JACQUIER,NA,NA,NA
Epinal,Épinal,32100,105
Espace du Palais,Rouen,114083,360
ESTEREL,Fréjus,54120,175
Evreux Centre,Évreux,47024,150
Faiencerie Creil,Creil,35500,115
Fort-de-France - Hôtel de ville,Fort-de-France,78300,250
Fos Les Carabins,Fos-sur-Mer,15100,50
FRERES GONCOURT,Paris,2103778,21000
Fulbert,Chartres,38184,125
GAILLARD,Gaillard,11000,35
GAP COMMANDERIE,Gap,40400,135
GAP JEAN JAURES,Gap,40400,135
GARDANNE,Gardanne,20900,68
GENNEVILLIERS,Gennevilliers,48700,155
GERLAND,Lyon,519127,1700
GONESSE,Gonesse,25900,85
Gonfreville l Orcher,Gonfreville-l'Orcher,9000,30
Grenoble Les Frenes,Grenoble,157650,520
Gresivaudan Periurb,Crolles,8000,26
Haguenau-Place marché aux bestiaux,Haguenau,35200,115
Jean d Aulan,NA,NA,NA
Joué lès Tours,Joué-lès-Tours,38100,125
Kourou Gaston Monnerville Brady,Kourou,26000,85
La Bruyère,NA,NA,NA
LA CHABOSSIERE,Couëron,23400,75
LA CHAUVINIERE,Nantes,327734,1040
LA DEFENSE,Puteaux,44100,140
LA MEGRETAIS,Rennes,227830,720
La Pallice3 LR,La Rochelle,78500,250
LA TALAUDIERE,La Talaudière,7100,22
LA VALETTE/LA GARDE,La Valette-du-Var,23300,75
La_Source-CNRS,Orléans,116617,380
Lamentin,Le Lamentin,40100,130
LAVAL-La Paix,Laval,50500,160
Le Havre Ec. Herriot,Le Havre,166000,550
Le Havre Lafaurie-montant,Le Havre,166000,550
Le Havre ville-haute,Le Havre,166000,550
Leblanc,NA,NA,NA
LEON BLUM,Issy-les-Moulineaux,70400,230
LEVOYER,NA,NA,NA
LIMOGES - BERLAND,Limoges,130876,420
Lons-le-Saunier CV,Lons-le-Saunier,17900,58
Lorient B. Bissonnet,Lorient,57100,185
Lorient Normandie,Lorient,57100,185
LOURDES LAPACCA,Lourdes,13600,45
LOVERCHY,Annecy,130721,420
Lunel Viel,Lunel-Viel,4100,13
Luneville,Lunéville,19700,65
LYC. LISLET GEOFFROY,Saint-Denis (Réunion),150000,480
LYON Centre,Lyon,519127,1700
Macon Paul Bert,Mâcon,33700,110
Malo-les-Bains,Dunkerque,86000,280
MANOSQUE,Manosque,22100,70
Marignane,Marignane,32900,105
MARMANDE,Marmande,17700,58
MARSEILLE 5 AVENUES,Marseille,886040,2800
MARSEILLE RABATAU,Marseille,886040,2800
MARSEILLE ST LOUIS,Marseille,886040,2800
MAZAGRAN,Perpignan,120000,390
Metz-Centre,Metz,118000,380
MONT-DE-MARSAN - MIDOUZE,Mont-de-Marsan,30000,95
Montargis Les Cites,Montargis,13900,45
Montargis_trafic,Montargis,13900,45
Montauban - Ramierou,Montauban,61000,200
Montbéliard centre,Montbéliard,26000,85
Montceau-les-Mines 9me écluse,Montceau-les-Mines,17600,58
Montferrand,Clermont-Ferrand,147800,480
Montluçon,Montluçon,34000,110
Montpellier Liberté,Montpellier,310240,980
Montpellier Prés d'Arènes,Montpellier,310240,980
Moulins Centre,Moulins,18700,62
Mulhouse Sud 2,Mulhouse,108000,350
Nancy-Charles III,Nancy,104592,340
Nancy-Libération,Nancy,104592,340
Nevers,Nevers,33000,105
NICE ARSON,Nice,357737,1100
NICE PROMENADE,Nice,357737,1100
Nimes Gauzy,Nîmes,148561,480
Nimes Planas,Nîmes,148561,480
Niort Venise,Niort,59000,190
P. Roth St Quentin,Saint-Quentin,53000,170
PALAIS S/ V.- Garros,Saint-Denis (Réunion),150000,480
PARIS 18eme,Paris,2103778,21000
PARIS 1er Les Halles,Paris,2103778,21000
PARSCAU DU PLESSIS,Le Plessis-Robinson,29000,95
PASSY,Paris,2103778,21000
PASTEUR,NA,NA,NA
PEILLON,Peillon,1500,5
PERIGUEUX,Périgueux,30000,95
Perpignan bd Pyrénées,Perpignan,120000,390
Perpignan Les Carmes,Perpignan,120000,390
Petit Quevilly,Le Petit-Quevilly,22000,70
place de VERDUN,NA,NA,NA
Plateau Caillou,Saint-Paul (Réunion),105000,340
Poitiers Centre  Augouard,Poitiers,90000,290
Pompidou,Paris,2103778,21000
Port de Bouc Leque,Port-de-Bouc,16000,50
Port Saint Louis,Port-Saint-Louis-du-Rhône,8500,28
PTP-VICTOIRE,Pointe-à-Pitre,15000,50
Quimper Zola,Quimper,63000,200
RAMBOUILLET,Rambouillet,26000,85
RD934 Coulommiers,Coulommiers,15000,50
Rempart Perrier,Angers,155000,500
Rennes Laennec,Rennes,227830,720
Rennes Thabor,Rennes,227830,720
RN20 - MONTLHERY,Montlhéry,7000,22
RN6-MELUN,Melun,41000,135
Robert Bourg,Bourg-en-Bresse,41000,135
Rocade Sud Eybens,Eybens,10000,32
Rodez,Rodez,25000,80
Rognac les Brets,Rognac,12000,38
Romans-sur-Isère,Romans-sur-Isère,33000,105
Roubaix Serres,Roubaix,98000,320
Rouen Proxi Quai de Paris,Rouen,114083,360
S ETIENNE DE MONTLUC,Saint-Étienne-de-Montluc,8000,26
SAINT ETIENNE SUD,Saint-Étienne,171057,550
SAINT EXUPERY,Lyon,519127,1700
SAINT-CHAMOND,Saint-Chamond,35000,115
Sainte_Luce,Sainte-Luce,10000,32
SALON,Salon-de-Provence,45000,145
SOURCES,NA,NA,NA
Square Pablo Casals,Perpignan,120000,390
St DIZIER L. Michel,Saint-Dizier,25000,80
St Jean de la Ruelle,Saint-Jean-de-la-Ruelle,17000,55
St Martin d'Heres,Saint-Martin-d'Hères,38000,125
St Pierre Amiens,Amiens,135000,440
St Pol mer - cheminots,Dunkerque,86000,280
St-Laurent-Blangy,Saint-Laurent-Blangy,6500,20
Stade Travet CASTRES,Castres,42000,135
Station de FORBACH,Forbach,21000,68
Station Luther King,Nantes,327734,1040
STE SAVINE,Sainte-Savine,11000,35
StMalo Rocabey,Saint-Malo,47000,150
Strasbourg Neudorf Ecoquartier Danube,Strasbourg,293771,940
SXM Marigot,Marigot (Saint-Martin),6000,20
TALENCE,Talence,45000,145
Tarbes lycée Dupuy,Tarbes,42000,135
Thionville-Centre,Thionville,41000,135
TOULON CLARET,Toulon,180452,580
TOULON FOCH,Toulon,180452,580
Toulouse Berthelot,Toulouse,514819,1600
Toulouse Mazades,Toulouse,514819,1600
Toulouse Port de l'Embouchure,Toulouse,514819,1600
Tourcoing Houpline,Tourcoing,97000,315
TRAF Saint Quent 14,Saint-Quentin,53000,170
TRAFIC AMIENS,Amiens,135000,440
Trafic Beauvais 1,Beauvais,56000,180
TRAFIC_TOULOUSE,Toulouse,514819,1600
Valence Urb. Centre,Valence,64231,210
Valenciennes Wallon,Valenciennes,43000,140
Vannes UTA,Vannes,54511,175
VAULX EN VELIN,Vaulx-en-Velin,50000,160
Vesoul Pres Caillet,Vesoul,15000,50
Vichy,Vichy,25000,80
Ville de Schoelcher,Schoelcher,20000,65
Villefranche Centre,Villefranche-sur-Saône,36000,120
VITRY-SUR-SEINE,Vitry-sur-Seine,96700,310
Wattignies,Wattignies,15000,50
