Code,Population
45277,442
97230,11454
97219,1479
97208,640
97225,3961
97220,11604
97205,4537
97209,75506
97201,1682
97233,1718
97224,16258
97216,2948
97218,4388
97213,39400
97206,6161
97223,10322
97234,1746
97229,19478
97231,6507
97110,1306
97105,9417
97121,5762
97116,16228
97119,8212
97106,6127
97112,4617
67121,803
59477,4428
59379,741
57640,472
85269,428
60206,922
76384,8541
64498,402
89462,312
52423,609
14202,246
27390,1118
14125,1830
67178,284
66102,35
52344,29
33288,276
38324,686
47323,22350
52124,76
79263,615
87035,512
2227,126
97131,1463
97102,4412
97109,7307
97122,5607
97120,15040
97113,27757
97124,10177
97115,18628
97118,24665
97103,30924
97114,7565
97128,23973
97129,17700
97134,7077
97111,3710
97126,2610
97101,51055
97133,1674
97104,5096
97117,23014
97107,17684
97130,873
97132,7415
97108,3123
97419,6557
97423,7221
97422,82579
97403,7176
97410,38604
97408,36568
97401,11536
97415,108088
97409,58885
97413,36163
97404,14464
97420,25551
97414,54941
97407,33969
97418,37093
97421,7268
97424,5040
97417,5082
97406,6936
97411,155634
97416,85038
97309,27723
97353,9579
97360,10306
97302,62675
97356,2189
97306,10957
97314,150
97361,1577
97357,9668
97312,2756
97307,36512
97301,1658
97313,3626
97303,1662
97308,4915
97305,19899
97304,24824
97311,54429
97210,15778
97203,2852
97217,8486
97226,4306
97214,6566
97202,3912
97227,9410
97207,18105
97215,987
97212,9610
97228,14756
35287,2768
40134,2906
24075,323
11319,69
41112,241
89059,698
32233,1213
21348,97
9014,195
43201,245
30320,180
76319,9768
80549,620
57014,365
14066,2437
37171,1168
47068,1133
81125,318
65217,59
62577,71
27407,290
27188,1549
67310,1111
55362,175
10325,4840
45214,246
7126,1257
8491,3518
38474,11646
11269,2713
35155,702
45247,3740
22254,1078
31141,234
55574,42
71242,510
80269,104
57486,121
63461,373
54460,157
43241,1289
54128,700
67095,1579
42225,3839
57002,67
65013,58
27033,307
52156,407
55514,554
67460,1768
44031,809
55099,115
62624,5994
27667,413
64161,1024
23021,769
59588,8247
2460,203
36175,281
39203,110
82118,92
64360,207
46003,699
23064,652
76524,152
64474,160
77295,1362
64490,543
26345,2077
76210,444
1408,673
40054,279
16031,413
95301,293
51264,503
25627,293
74190,719
60317,704
58055,741
38174,1083
28039,1705
11178,1255
60121,160
68007,2199
2063,378
72334,2195
14403,749
78402,3923
39141,255
62112,553
67558,712
16095,124
31540,329
57287,2349
80442,1111
41121,33
80236,555
23202,224
55556,49
62573,3691
38406,165
74238,1492
60648,314
87105,865
86217,279
9292,42
59627,1009
88224,374
52128,155
30341,11671
57471,298
43262,1236
34126,2389
50174,194
27323,285
84039,6426
26133,183
23232,215
31465,22
14042,1154
33174,1130
80469,154
24242,259
16244,2246
68336,484
80458,442
41236,88
18119,205
31351,6060
90045,702
32419,103
43022,268
55013,466
15016,614
21428,144
62735,2493
56083,15910
4069,112
38550,76
45097,1237
54584,1024
76481,6172
88394,47
14714,745
57402,116
14483,200
31369,24
31134,82
83122,236
52090,87
68374,8059
40161,85
37001,1116
33104,4907
22377,813
67279,237
60056,63
5065,2295
1194,6247
35262,368
4132,167
25431,368
2513,141
63399,85
58247,547
59399,1106
84022,252
58240,81
2118,129
91578,272
62145,450
72119,1069
10046,97
78576,1689
71040,5955
16181,549
80619,686
68386,1083
6044,8202
36217,100
44202,1824
17041,1859
3093,1225
30284,4840
88227,78
27273,364
47288,519
24277,285
73076,269
31498,38
89207,29
33339,1494
35243,2438
62546,336
66117,153
67230,2412
27198,6078
32254,357
65391,58
72362,170
69384,34752
13206,38476
40147,367
47101,1293
88076,405
42212,1037
89321,735
77416,265
54248,94
82148,719
47008,110
65145,50
3063,1023
65085,98
59008,9963
70112,166
84134,708
71009,695
33220,1335
7282,444
66214,1166
38089,225
14283,215
8268,69
54383,1135
13061,229
62748,2349
4203,443
71319,763
71580,467
22345,844
24052,121
30306,585
25125,317
55327,236
16399,310
58087,652
71270,35177
64097,626
41168,206
24477,191
70138,121
2352,572
11102,533
18022,334
68370,155
59364,922
45136,561
40012,262
78358,23093
97358,159
52431,151
88189,133
43104,182
7176,164
67507,1799
73155,2150
1125,601
6085,19782
84082,1884
38243,254
11258,2093
82030,488
68204,1058
60347,278
61217,57
59508,14075
17388,274
21198,241
63247,672
76560,1021
21590,1268
1058,804
74275,1903
59191,606
45255,428
5066,7
6012,11936
13111,1058
64365,450
57254,1120
21431,158
79014,2575
57655,1133
49336,884
50048,562
36198,405
50139,4137
72135,599
47229,203
14684,243
49182,896
27363,254
86211,801
42207,35646
76065,410
3178,280
71213,570
28257,96
17376,2150
56107,8418
34054,109
39291,255
88441,126
52103,134
57076,551
51592,303
51152,521
23148,245
62114,164
10198,116
19281,80
71131,
51646,82
18248,443
25275,176
64407,5428
71330,752
16103,128
77128,2064
40251,412
10162,269
67139,485
62530,544
17247,877
95023,618
85024,2256
40042,347
57457,141
37149,496
26204,134
32044,299
31282,9173
88445,2319
32070,204
89483,523
91111,3342
34016,624
17044,1169
54318,5580
41246,479
55467,692
68227,1288
38075,3065
4214,127
61145,4113
70052,123
60404,1487
50285,321
64090,120
46175,973
17301,90
22283,877
61116,1976
23091,187
2229,78
2573,53
2657,200
16312,771
81200,451
49369,1366
71126,607
61044,417
33063,267991
37084,543
31292,75
67364,975
71293,412
82049,1042
79141,209
17407,5034
53201,7479
36060,705
91629,617
55110,209
24006,203
59218,1233
76681,29003
92033,17743
43136,226
24081,671
61171,114
24337,143
32378,515
54505,718
55460,138
77078,1480
2359,1280
62494,44
89065,51
18014,159
74169,5964
18228,214
55482,98
68009,857
24528,125
14061,8629
8207,226
24151,99
64332,168
25438,961
32264,217
32466,92
38132,74
34282,1394
62067,536
88508,517
72295,509
30179,3122
62428,528
64176,151
2267,287
52350,68
15091,84
42215,1246
67248,1781
88446,227
8315,65
10410,108
44208,996
88052,88
8480,3615
32406,355
25286,125
11227,42
72222,252
50535,921
33512,342
8025,1094
14110,129
40217,7586
62357,62
31466,794
89098,235
60554,471
68240,1203
35087,961
52316,68
86124,1192
85011,1824
76439,346
2601,173
21116,135
3288,434
33031,131
2112,554
60110,231
65449,87
9175,102
51182,95
7015,529
49326,935
63165,786
35157,621
62823,171
74173,2893
17362,302
58122,424
80094,517
17484,1780
14622,118
31171,273
28149,543
33480,1344
76599,3633
55439,105
58190,87
75111,138170
51218,131
62786,299
32307,2566
14484,256
49308,2216
7012,346
76062,256
62079,83
48098,99
35010,1756
12191,350
8364,121
85226,13074
80512,840
35265,2619
56254,1400
34072,26
4158,368
71561,242
80625,1482
50549,397
50372,176
42137,860
65189,264
14744,265
76572,130
76684,1268
12234,645
31448,505
16053,119
25103,682
77329,702
60549,235
36239,472
71554,110
69086,2361
59431,7764
36199,1101
32028,104
33293,3628
57661,168
57245,602
25001,250
11290,119
74209,1381
57177,2770
22205,467
84001,2960
82142,1866
80824,249
81252,169
43017,294
27248,193
46009,709
61242,231
57020,300
7039,255
10299,498
2581,309
76046,683
29299,323
52395,57
76505,94
88088,675
42049,690
33460,588
2221,161
24158,427
61170,203
12185,1623
17313,388
59617,641
55389,253
14243,1574
38207,165
70413,1846
68326,142
50533,180
10131,339
25572,100
79223,58
31525,584
25162,214
80420,170
6051,96
27310,394
27180,2167
74123,7545
75103,32179
28283,279
51529,464
87080,197
71147,247
57312,481
84096,813
2A018,165
49008,913
12038,164
62150,529
87082,1171
33413,2304
8415,315
31052,1647
10105,22
57268,125
7148,146
49241,2664
29278,1774
80582,1013
54082,179
25463,3912
70256,687
65112,158
29023,3272
65143,106
80034,614
38225,2936
57371,532
62725,121
34333,3428
37246,226
70118,180
44210,8397
9313,169
70178,549
70102,296
50417,1811
60108,302
89145,403
39373,174
3021,232
57224,3916
25039,982
32065,235
59517,737
46236,156
55572,92
2070,431
76095,8316
27544,191
42125,136
63151,1369
27419,744
16298,345
64366,109
67192,963
46136,279
21136,27
83086,10118
52250,2915
53077,3174
78672,5952
39066,184
40237,808
72005,895
30091,1617
90049,869
3251,422
33301,599
10055,247
60593,153
27368,362
65184,181
78397,7276
35356,2329
57674,169
62647,740
57614,647
59180,1436
35353,6471
5102,82
2595,139
63016,862
63424,611
62337,227
1421,739
35161,1890
14488,9212
21014,63
2A189,1289
64121,197
65288,61
86257,379
63420,785
5078,302
25243,850
27281,234
14300,
46284,418
8296,110
50120,407
25326,562
83119,3582
34237,2336
8365,1317
57416,683
72006,1902
72350,3067
9235,888
41241,1334
10015,398
57488,559
54258,147
66134,1118
54558,286
48074,242
2820,1651
47115,246
82040,270
22024,245
36178,276
33326,223
50493,1534
41208,115
15261,787
50352,339
70045,428
10305,90
45294,151
77046,350
68222,1178
38133,5520
24128,165
2B121,395
72246,188
89245,870
24143,709
40044,1041
7254,879
68215,928
28235,413
1057,513
2610,726
2B316,1024
2320,232
52352,62
23044,89
28180,498
45284,23147
25009,168
22240,1160
61444,111
25574,194
57447,10286
55583,209
50276,604
46049,245
48105,372
41198,2789
17418,606
38503,2470
28255,159
2B059,123
27325,199
89209,510
14715,4619
59608,1123
48064,371
35308,4492
44021,5120
54134,248
8444,134
66095,480
88274,82
42086,525
23239,612
76728,1245
54557,2312
66124,1762
25115,269
63304,110
89460,3455
91085,3882
9290,175
22280,1167
41108,123
70514,638
52538,255
32348,563
59169,205
65007,1340
43027,45
61055,570
42142,324
24154,353
76287,1079
51455,214
65433,2988
14396,1060
71105,8227
71234,353
21070,133
29170,4239
42325,390
15126,77
8395,152
36045,2293
89084,288
35122,2021
21239,763
89283,578
22267,409
18118,1303
32337,72
28027,1234
86174,5964
21401,321
36176,562
57286,288
67138,570
54176,1053
76008,618
10345,373
1159,3411
77402,335
68287,4238
12082,210
69027,12503
33254,527
56208,308
90058,539
39511,65
38387,498
57505,1138
89131,222
54430,4780
17228,3157
71035,201
74117,985
50198,501
6023,2377
14006,1079
25309,1216
26091,43
83066,2075
6025,1446
61413,134
91619,294
59570,869
65164,91
22085,292
77480,1007
86034,620
17353,2299
53111,468
50151,2067
40016,277
51398,188
58079,3544
33357,1810
60104,4222
77308,717
28029,330
37024,945
25054,534
81261,1269
56084,930
60025,1857
17171,788
2B013,27
59473,300
88187,48
22333,781
45036,860
10212,108
38017,1726
1107,143
40125,1398
42105,254
2B147,110
40133,7183
78455,7713
31326,132
21369,346
59565,640
71411,150
95424,22457
17231,102
9042,965
76553,304
25184,274
86113,2989
28351,420
21028,815
5081,54
21323,155
8010,132
85139,464
39545,168
62308,461
14603,512
60019,408
34161,3990
29061,6501
72333,428
23110,51
82125,6663
92032,24070
86269,189
29079,1181
70146,158
29289,134
41267,943
50292,2761
31149,40882
50579,1459
24341,1102
14623,
25282,
28276,
24286,511
14104,201
50152,227
30224,693
77008,1176
57456,635
70417,291
64463,639
64530,348
38484,2091
56120,2031
70529,369
95120,2252
74030,320
67543,2050
3281,387
28234,507
69136,3218
88236,125
17096,67
47217,899
63460,359
76155,378
45120,171
45260,241
82031,1186
26312,1228
89032,75
28290,282
91477,37471
45099,501
14711,925
59397,615
77228,256
55018,33
12124,318
54421,305
26145,698
7157,1366
67552,332
29257,2087
79007,608
30026,1053
40103,653
14308,378
15114,508
15008,284
15106,169
67159,210
21395,92
14735,800
58068,192
91136,2615
94001,5988
44104,859
77004,336
17482,674
60221,732
61443,631
57110,429
50169,112
31056,8713
21010,125
2B166,650
63290,419
67306,683
27382,356
3059,388
22299,1560
1214,164
68088,1047
42026,1710
82176,993
63463,501
35229,1312
52529,1000
80811,595
43005,152
6072,132
76605,473
62593,87
12140,1008
63436,80
55107,46
45037,492
11017,72
28014,646
9250,80
2B082,34
57092,617
51288,233
92025,91053
25628,
56049,
76425,302
40317,3556
21485,2497
11242,178
52371,141
71537,138
34073,2503
1411,262
17126,316
25333,356
80449,65
42068,411
1241,1426
42148,512
9210,415
47180,641
38382,17986
67474,3121
88151,1077
49120,1449
1203,1293
77396,106
58010,637
37266,6865
29237,1893
78172,36958
35035,618
33419,79
89310,159
9206,541
26207,649
42182,3231
39254,124
32069,85
74171,1770
33247,134
76699,451
32169,148
69055,1503
57098,221
2126,463
37096,645
10020,509
21498,51
76025,349
61389,1006
60513,3332
62426,187
43123,425
85054,1098
70575,854
23147,100
14524,307
50551,2114
55512,272
1342,544
27434,65
47103,220
43133,146
89298,582
60652,941
69268,3332
62274,6139
16318,355
83007,2192
18076,415
88358,1947
2B037,7642
80516,190
54565,235
88431,145
70218,127
62366,296
86156,243
39297,1139
43025,2954
8156,465
81144,4590
12265,538
2071,631
62789,251
52475,54
7195,63
72101,664
30041,1234
43121,226
50556,685
77278,412
57635,372
51199,412
29142,424
64239,141
25018,602
16382,740
58159,191
49247,2501
76437,577
62071,408
77385,2294
82022,396
31059,108
81181,182
54155,400
89374,63
2B156,24
48072,195
68315,7012
35086,610
95651,849
19161,427
63126,1300
45280,1038
32046,182
78620,1172
71140,38
87166,865
72157,693
80161,222
66070,227
10417,201
39214,140
60112,335
37094,571
93032,42313
54579,332
2209,654
27107,1252
57115,99
19250,681
63440,149
62460,272
43098,117
60241,318
24328,1180
51254,237
7302,824
70334,1528
24410,511
80788,174
25432,2189
43111,873
24551,2876
60130,1125
89335,434
59459,5054
2A282,160
54574,580
13085,5798
79306,178
64383,142
25611,493
90084,322
51603,228
86078,2522
39050,159
54215,6444
52289,318
74045,245
32181,248
14059,367
60240,236
9019,574
52453,125
68072,1385
9005,137
54293,86
16364,66
85267,990
2736,162
7199,1319
21015,86
63435,200
81262,239
24030,731
62363,400
34093,
63201,1163
43169,58
38536,1521
40334,386
41110,821
10194,93
57755,99
50435,620
71010,789
48157,97
24200,555
68352,2720
71037,85
88253,663
39492,212
14134,187
18286,437
50166,321
33255,247
7028,544
30101,638
64417,3184
7144,43
17161,3150
33008,602
61319,251
61266,84
19125,857
89384,672
25195,1486
84017,3106
51028,956
19193,188
76697,788
59539,989
33493,349
69161,484
31258,252
64466,271
64532,73
18001,326
7042,7661
85297,1071
65035,504
47062,420
54313,224
44133,3059
33125,2332
82183,214
49007,159022
37240,640
80361,69
8060,292
80669,346
85229,642
88245,285
9115,119
12150,461
53036,1058
51032,405
59466,3016
7242,125
39039,236
79009,429
35090,2819
13093,357
42280,408
2422,754
33052,1174
80626,284
7109,328
46030,350
26380,545
45226,1348
2A094,75
76041,1331
55416,195
31340,303
71383,550
52386,518
65215,38
31293,3251
27142,294
25597,253
33474,3746
46185,1637
63389,109
2306,526
60665,2758
86237,717
56041,2885
2B255,53
70152,605
73176,734
60682,726
76018,1454
29295,483
33322,7292
19182,773
38492,724
49228,5448
73170,520
62315,342
54453,164
86133,3444
30277,553
17023,372
28272,152
57006,963
53016,1222
14168,206
80124,725
67293,721
80340,181
64105,259
3058,220
16102,18532
35292,1553
54309,407
31071,470
7286,510
45183,120
71163,95
37049,1265
52429,582
50496,401
36009,1215
64549,1326
88424,2234
2376,189
54300,6630
80730,1096
69212,486
91411,1975
51236,134
25329,32
51627,326
56005,2271
12048,322
27606,466
87194,372
10132,256
15259,271
8208,136
76656,745
70229,253
28299,165
22096,461
89361,256
88017,159
63146,937
80232,215
78653,389
30296,166
7030,204
80548,337
2A212,452
36020,74
55262,239
45297,1034
1112,480
74134,1227
71425,286
31255,324
2A308,363
14107,151
2B339,29
60671,349
31070,426
81218,3548
45179,3101
65299,235
59429,2901
64100,3414
63131,1182
27249,1056
26235,13756
9331,682
31452,52
2600,341
40085,440
21550,111
14248,244
11052,365
27666,557
51451,79
76322,25789
95154,282
9217,150
57498,2650
24293,265
28140,5715
8030,58
57276,322
49334,345
52116,46
59045,158
62675,292
15026,177
46068,185
13059,3847
60635,1041
73097,704
38256,1846
54028,2650
87152,1625
40084,736
86016,2226
57613,322
55535,79
29211,687
21334,476
18175,603
14353,451
27140,391
64347,221
21004,257
18027,628
38542,328
2B113,54
53040,616
52476,75
57015,524
39378,772
26278,281
55253,695
2211,357
58199,163
51434,755
62719,293
61502,72
72156,928
9320,27
69163,3679
44109,327734
15183,119
62403,1196
59630,2613
59410,21105
48193,225
72124,4868
59290,361
51644,333
88231,465
77319,137
12268,423
62679,333
3007,383
80593,263
42035,211
6031,1268
43175,165
2423,455
51551,188
81045,379
95682,205
58166,226
54219,81
63347,471
53097,8252
72241,2939
46196,90
62606,1409
57325,847
63413,737
30305,3648
33020,136
72375,510
28306,174
68124,369
47071,256
70486,107
63155,512
80224,127
69174,626
39172,258
66084,1347
21462,961
2B136,155
11089,413
73229,545
21624,143
28068,429
57396,794
24586,891
72071,5641
57239,422
15217,91
46169,234
53029,1285
8223,124
7329,412
68174,1633
17089,1019
57136,597
80043,246
2446,118
65247,99
46013,211
37046,418
39058,143
38405,1254
80335,235
88436,71
54576,109
2383,1412
52094,180
29173,2409
59348,1462
70169,201
38190,1245
24032,372
60677,247
59070,
35064,1114
34122,590
27633,491
93045,23843
61324,1160
45324,2484
16401,147
32126,162
65055,349
27522,440
62365,208
89087,289
57696,973
53225,507
8219,119
41286,146
22150,986
2223,304
74164,6507
76670,868
88071,44
10424,66
7226,90
1206,260
76275,1766
61476,277
60412,672
39423,96
62402,308
30136,1343
76562,843
58204,539
86042,887
44218,680
24068,1965
76314,604
84052,1234
78236,576
8081,4889
27660,252
64109,2013
17225,2180
77055,5196
71272,225
76307,1338
81010,471
29123,812
72239,582
61077,844
33089,516
2088,80
30220,266
3110,995
64424,547
32062,165
34202,8431
17099,697
21633,196
16048,136
39171,1204
50177,368
27701,13245
95598,18008
24176,36
68283,775
50149,1249
2B303,812
21324,52
14179,160
62699,675
90096,286
46032,371
